date,modal_price,source
2025-12-04,5185.01,synthetic
2025-12-05,5167.08,synthetic
2025-12-06,5155.58,synthetic
2025-12-07,5227.96,synthetic
2025-12-08,5214.62,synthetic
2025-12-09,5058.46,synthetic
2025-12-10,5092.08,synthetic
2025-12-11,5064.85,synthetic
2025-12-12,5042.88,synthetic
2025-12-13,5054.57,synthetic
2025-12-14,5078.05,synthetic
2025-12-15,5196.22,synthetic
2025-12-16,5264.46,synthetic
2025-12-17,5276.1,synthetic
2025-12-18,5198.19,synthetic
2025-12-19,5092.7,synthetic
2025-12-20,5117.79,synthetic
2025-12-21,5251.99,synthetic
2025-12-22,5256.36,synthetic
2025-12-23,5245.19,synthetic
2025-12-24,5300.97,synthetic
2025-12-25,5146.87,synthetic
2025-12-26,5114.72,synthetic
2025-12-27,5164.88,synthetic
2025-12-28,5255.1,synthetic
2025-12-29,5229.81,synthetic
2025-12-30,5269.2,synthetic
2025-12-31,5295.36,synthetic
2026-01-01,5378.22,synthetic
2026-01-02,5258.47,synthetic
2026-01-03,5318.23,synthetic
2026-01-04,5157.14,synthetic
2026-01-05,4886.91,synthetic
2026-01-06,4827.6,synthetic
2026-01-07,4739.18,synthetic
2026-01-08,4822.21,synthetic
2026-01-09,4886.27,synthetic
2026-01-10,4767.14,synthetic
2026-01-11,4847.93,synthetic
2026-01-12,4750.75,synthetic
2026-01-13,4742.56,synthetic
2026-01-14,4714.68,synthetic
2026-01-15,4725.47,synthetic
2026-01-16,4802.84,synthetic
2026-01-17,4864.16,synthetic
2026-01-18,4898.2,synthetic
2026-01-19,4961.87,synthetic
2026-01-20,5009.36,synthetic
2026-01-21,4946.54,synthetic
2026-01-22,4875.57,synthetic
2026-01-23,4829.75,synthetic
2026-01-24,4877.98,synthetic
2026-01-25,4853.58,synthetic
2026-01-26,5080.31,synthetic
2026-01-27,4997.07,synthetic
2026-01-28,4887.24,synthetic
2026-01-29,4962.36,synthetic
2026-01-30,5103.47,synthetic
2026-01-31,5155.09,synthetic
2026-02-01,5241.26,synthetic
2026-02-02,5390.78,synthetic
2026-02-03,5380.64,synthetic
2026-02-04,5227.51,synthetic
2026-02-05,5171.88,synthetic
2026-02-06,5270.45,synthetic
2026-02-07,5118.27,synthetic
2026-02-08,5121.71,synthetic
2026-02-09,5147.65,synthetic
2026-02-10,5115.15,synthetic
2026-02-11,5189.18,synthetic
2026-02-12,5249.46,synthetic
2026-02-13,5493.18,synthetic
2026-02-14,5561.29,synthetic
2026-02-15,5493.51,synthetic
2026-02-16,5431.79,synthetic
2026-02-17,5341.45,synthetic
2026-02-18,5443.18,synthetic
2026-02-19,5381.47,synthetic
2026-02-20,5373.91,synthetic
2026-02-21,5454.44,synthetic
2026-02-22,5375.52,synthetic
2026-02-23,5343.95,synthetic
2026-02-24,5147.16,synthetic
2026-02-25,5035.72,synthetic
2026-02-26,4978.54,synthetic
2026-02-27,5019.94,synthetic
2026-02-28,5139.77,synthetic
2026-03-01,5137.87,synthetic
2026-03-02,5164.72,synthetic
2026-03-03,5182.07,synthetic
2026-03-04,5294.5,synthetic
2026-03-05,5389.1,synthetic
2026-03-06,5418.6,synthetic
2026-03-07,5309.04,synthetic
2026-03-08,5404.96,synthetic
2026-03-09,5446.15,synthetic
2026-03-10,5579.79,synthetic
2026-03-11,5576.46,synthetic
2026-03-12,5794.28,synthetic
2026-03-13,5752.69,synthetic
2026-03-14,5935.98,synthetic
2026-03-15,5949.65,synthetic
2026-03-16,5888.22,synthetic
2026-03-17,5755.33,synthetic
2026-03-18,5737.94,synthetic
2026-03-19,5901.28,synthetic
2026-03-20,5997.63,synthetic
2026-03-21,6080.27,synthetic
2026-03-22,5791.35,synthetic
2026-03-23,5873.7,synthetic
2026-03-24,5938.99,synthetic
2026-03-25,5873.67,synthetic
2026-03-26,5799.97,synthetic
2026-03-27,5799.71,synthetic
2026-03-28,5999.78,synthetic
2026-03-29,5873.17,synthetic
2026-03-30,5822.92,synthetic
2026-03-31,5981.51,synthetic
2026-04-01,5928.14,synthetic
2026-04-02,5884.95,synthetic
2026-04-03,5896.46,synthetic
2026-04-04,5750.08,synthetic
2026-04-05,5775.37,synthetic
2026-04-06,5635.65,synthetic
2026-04-07,5735.42,synthetic
2026-04-08,5735.79,synthetic
2026-04-09,5997.74,synthetic
2026-04-10,6031.42,synthetic
2026-04-11,6196.16,synthetic
2026-04-12,6034.66,synthetic
2026-04-13,6019.92,synthetic
2026-04-14,6058.82,synthetic
2026-04-15,6270.36,synthetic
2026-04-16,6059.57,synthetic
2026-04-17,6179.62,synthetic
2026-04-18,6252.71,synthetic
2026-04-19,6444.48,synthetic
2026-04-20,6536.3,synthetic
2026-04-21,6543.11,synthetic
2026-04-22,6474.85,synthetic
2026-04-23,6313.21,synthetic
2026-04-24,6337.88,synthetic
2026-04-25,6313.59,synthetic
2026-04-26,6568.69,synthetic
2026-04-27,6488.42,synthetic
2026-04-28,6529.99,synthetic
2026-04-29,6325.08,synthetic
2026-04-30,6275.05,synthetic
2026-05-01,6307.83,synthetic
2026-05-02,6411.78,synthetic
2026-05-03,6597.47,synthetic
2026-05-04,6591.65,synthetic
2026-05-05,6444.36,synthetic
2026-05-06,6503.37,synthetic
2026-05-07,6570.61,synthetic
2026-05-08,6635.22,synthetic
2026-05-09,6542.29,synthetic
2026-05-10,6690.59,synthetic
2026-05-11,6702.35,synthetic
2026-05-12,6796.16,synthetic
2026-05-13,6969.34,synthetic
2026-05-14,7054.26,synthetic
2026-05-15,7094.69,synthetic
2026-05-16,7400.15,synthetic
2026-05-17,7436.22,synthetic
2026-05-18,7392.21,synthetic
2026-05-19,7408.76,synthetic
2026-05-20,7628.47,synthetic
2026-05-21,7646.58,synthetic
2026-05-22,7726.01,synthetic
2026-05-23,7910.77,synthetic
2026-05-24,7829.63,synthetic
2026-05-25,7559.26,synthetic
2026-05-26,7604.53,synthetic
2026-05-27,7639.47,synthetic
2026-05-28,7546.58,synthetic
2026-05-29,7678.05,synthetic
2026-05-30,7771.35,synthetic
2026-05-31,7616.7,synthetic
2026-06-01,7695.64,synthetic
