date,modal_price,source
2025-12-04,6925.07,synthetic
2025-12-05,6901.12,synthetic
2025-12-06,6885.75,synthetic
2025-12-07,6982.43,synthetic
2025-12-08,6964.61,synthetic
2025-12-09,6756.04,synthetic
2025-12-10,6800.94,synthetic
2025-12-11,6764.58,synthetic
2025-12-12,6735.23,synthetic
2025-12-13,6750.84,synthetic
2025-12-14,6782.2,synthetic
2025-12-15,6940.03,synthetic
2025-12-16,7031.17,synthetic
2025-12-17,7046.71,synthetic
2025-12-18,6942.66,synthetic
2025-12-19,6801.77,synthetic
2025-12-20,6835.28,synthetic
2025-12-21,7014.51,synthetic
2025-12-22,7020.36,synthetic
2025-12-23,7005.43,synthetic
2025-12-24,7079.94,synthetic
2025-12-25,6874.12,synthetic
2025-12-26,6831.18,synthetic
2025-12-27,6898.18,synthetic
2025-12-28,7018.68,synthetic
2025-12-29,6984.9,synthetic
2025-12-30,7037.51,synthetic
2025-12-31,7072.44,synthetic
2026-01-01,7183.1,synthetic
2026-01-02,7023.18,synthetic
2026-01-03,7102.99,synthetic
2026-01-04,6887.84,synthetic
2026-01-05,6526.93,synthetic
2026-01-06,6447.7,synthetic
2026-01-07,6329.61,synthetic
2026-01-08,6440.5,synthetic
2026-01-09,6526.07,synthetic
2026-01-10,6366.95,synthetic
2026-01-11,6474.85,synthetic
2026-01-12,6345.07,synthetic
2026-01-13,6334.13,synthetic
2026-01-14,6296.89,synthetic
2026-01-15,6311.3,synthetic
2026-01-16,6414.64,synthetic
2026-01-17,6496.54,synthetic
2026-01-18,6542.0,synthetic
2026-01-19,6627.04,synthetic
2026-01-20,6690.46,synthetic
2026-01-21,6606.56,synthetic
2026-01-22,6511.78,synthetic
2026-01-23,6450.57,synthetic
2026-01-24,6514.99,synthetic
2026-01-25,6482.4,synthetic
2026-01-26,6785.23,synthetic
2026-01-27,6674.04,synthetic
2026-01-28,6527.37,synthetic
2026-01-29,6627.69,synthetic
2026-01-30,6816.16,synthetic
2026-01-31,6885.1,synthetic
2026-02-01,7000.19,synthetic
2026-02-02,7199.88,synthetic
2026-02-03,7186.34,synthetic
2026-02-04,6981.83,synthetic
2026-02-05,6907.53,synthetic
2026-02-06,7039.17,synthetic
2026-02-07,6835.93,synthetic
2026-02-08,6840.51,synthetic
2026-02-09,6875.16,synthetic
2026-02-10,6831.76,synthetic
2026-02-11,6930.63,synthetic
2026-02-12,7011.14,synthetic
2026-02-13,7336.65,synthetic
2026-02-14,7427.62,synthetic
2026-02-15,7337.09,synthetic
2026-02-16,7254.65,synthetic
2026-02-17,7134.0,synthetic
2026-02-18,7269.87,synthetic
2026-02-19,7187.45,synthetic
2026-02-20,7177.35,synthetic
2026-02-21,7284.91,synthetic
2026-02-22,7179.51,synthetic
2026-02-23,7137.34,synthetic
2026-02-24,6874.5,synthetic
2026-02-25,6725.67,synthetic
2026-02-26,6649.3,synthetic
