date,modal_price,source
2025-12-04,2093.95,synthetic
2025-12-05,2086.71,synthetic
2025-12-06,2082.06,synthetic
2025-12-07,2111.29,synthetic
2025-12-08,2105.91,synthetic
2025-12-09,2042.84,synthetic
2025-12-10,2056.42,synthetic
2025-12-11,2045.42,synthetic
2025-12-12,2036.55,synthetic
2025-12-13,2041.27,synthetic
2025-12-14,2050.75,synthetic
2025-12-15,2098.47,synthetic
2025-12-16,2126.03,synthetic
2025-12-17,2130.73,synthetic
2025-12-18,2099.27,synthetic
2025-12-19,2056.67,synthetic
2025-12-20,2066.8,synthetic
2025-12-21,2120.99,synthetic
2025-12-22,2122.76,synthetic
2025-12-23,2118.25,synthetic
2025-12-24,2140.78,synthetic
2025-12-25,2078.54,synthetic
2025-12-26,2065.56,synthetic
2025-12-27,2085.82,synthetic
2025-12-28,2122.25,synthetic
2025-12-29,2112.04,synthetic
2025-12-30,2127.95,synthetic
2025-12-31,2138.51,synthetic
2026-01-01,2171.97,synthetic
2026-01-02,2123.61,synthetic
2026-01-03,2147.75,synthetic
2026-01-04,2082.69,synthetic
2026-01-05,1973.56,synthetic
2026-01-06,1949.61,synthetic
2026-01-07,1913.9,synthetic
2026-01-08,1947.43,synthetic
2026-01-09,1973.3,synthetic
2026-01-10,1925.19,synthetic
2026-01-11,1957.82,synthetic
2026-01-12,1918.57,synthetic
2026-01-13,1915.26,synthetic
2026-01-14,1904.01,synthetic
2026-01-15,1908.36,synthetic
2026-01-16,1939.61,synthetic
2026-01-17,1964.37,synthetic
2026-01-18,1978.12,synthetic
2026-01-19,2003.83,synthetic
2026-01-20,2023.01,synthetic
2026-01-21,1997.64,synthetic
2026-01-22,1968.98,synthetic
2026-01-23,1950.47,synthetic
2026-01-24,1969.95,synthetic
2026-01-25,1960.1,synthetic
2026-01-26,2051.66,synthetic
2026-01-27,2018.05,synthetic
2026-01-28,1973.69,synthetic
2026-01-29,2004.03,synthetic
2026-01-30,2061.02,synthetic
2026-01-31,2081.86,synthetic
2026-02-01,2116.66,synthetic
2026-02-02,2177.05,synthetic
2026-02-03,2172.95,synthetic
2026-02-04,2111.11,synthetic
2026-02-05,2088.65,synthetic
2026-02-06,2128.45,synthetic
2026-02-07,2066.99,synthetic
2026-02-08,2068.38,synthetic
2026-02-09,2078.86,synthetic
2026-02-10,2065.74,synthetic
2026-02-11,2095.63,synthetic
2026-02-12,2119.97,synthetic
2026-02-13,2218.4,synthetic
2026-02-14,2245.91,synthetic
2026-02-15,2218.53,synthetic
2026-02-16,2193.61,synthetic
2026-02-17,2157.12,synthetic
2026-02-18,2198.21,synthetic
2026-02-19,2173.29,synthetic
2026-02-20,2170.23,synthetic
2026-02-21,2202.76,synthetic
2026-02-22,2170.88,synthetic
2026-02-23,2158.13,synthetic
2026-02-24,2078.66,synthetic
2026-02-25,2033.66,synthetic
2026-02-26,2010.57,synthetic
2026-02-27,2027.28,synthetic
2026-02-28,2075.67,synthetic
2026-03-01,2074.91,synthetic
2026-03-02,2085.75,synthetic
2026-03-03,2092.76,synthetic
2026-03-04,2138.16,synthetic
2026-03-05,2176.37,synthetic
2026-03-06,2188.28,synthetic
2026-03-07,2144.03,synthetic
2026-03-08,2182.77,synthetic
2026-03-09,2199.41,synthetic
2026-03-10,2253.38,synthetic
2026-03-11,2252.03,synthetic
2026-03-12,2340.0,synthetic
2026-03-13,2323.2,synthetic
2026-03-14,2397.22,synthetic
2026-03-15,2402.74,synthetic
2026-03-16,2377.93,synthetic
2026-03-17,2324.27,synthetic
2026-03-18,2317.25,synthetic
2026-03-19,2383.21,synthetic
2026-03-20,2422.12,synthetic
2026-03-21,2455.49,synthetic
2026-03-22,2338.81,synthetic
2026-03-23,2372.07,synthetic
2026-03-24,2398.44,synthetic
2026-03-25,2372.06,synthetic
2026-03-26,2342.3,synthetic
2026-03-27,2342.19,synthetic
2026-03-28,2422.99,synthetic
2026-03-29,2371.86,synthetic
2026-03-30,2351.56,synthetic
2026-03-31,2415.61,synthetic
2026-04-01,2394.06,synthetic
2026-04-02,2376.62,synthetic
2026-04-03,2381.26,synthetic
2026-04-04,2322.15,synthetic
2026-04-05,2332.36,synthetic
2026-04-06,2275.94,synthetic
2026-04-07,2316.23,synthetic
2026-04-08,2316.38,synthetic
2026-04-09,2422.16,synthetic
2026-04-10,2435.77,synthetic
2026-04-11,2502.3,synthetic
2026-04-12,2437.07,synthetic
2026-04-13,2431.12,synthetic
2026-04-14,2446.83,synthetic
2026-04-15,2532.26,synthetic
2026-04-16,2447.13,synthetic
2026-04-17,2495.62,synthetic
2026-04-18,2525.13,synthetic
2026-04-19,2602.58,synthetic
2026-04-20,2639.66,synthetic
2026-04-21,2642.41,synthetic
2026-04-22,2614.84,synthetic
2026-04-23,2549.57,synthetic
2026-04-24,2559.53,synthetic
2026-04-25,2549.72,synthetic
2026-04-26,2652.74,synthetic
2026-04-27,2620.32,synthetic
2026-04-28,2637.11,synthetic
2026-04-29,2554.36,synthetic
2026-04-30,2534.16,synthetic
2026-05-01,2547.39,synthetic
2026-05-02,2589.37,synthetic
2026-05-03,2664.36,synthetic
2026-05-04,2662.01,synthetic
2026-05-05,2602.53,synthetic
2026-05-06,2626.36,synthetic
2026-05-07,2653.52,synthetic
2026-05-08,2679.61,synthetic
2026-05-09,2642.08,synthetic
2026-05-10,2701.97,synthetic
2026-05-11,2706.72,synthetic
2026-05-12,2744.6,synthetic
2026-05-13,2814.54,synthetic
