date,modal_price,source
2025-12-04,5085.3,synthetic
2025-12-05,5067.72,synthetic
2025-12-06,5056.44,synthetic
2025-12-07,5127.43,synthetic
2025-12-08,5114.34,synthetic
2025-12-09,4961.18,synthetic
2025-12-10,4994.16,synthetic
2025-12-11,4967.45,synthetic
2025-12-12,4945.9,synthetic
2025-12-13,4957.36,synthetic
2025-12-14,4980.39,synthetic
2025-12-15,5096.29,synthetic
2025-12-16,5163.22,synthetic
2025-12-17,5174.63,synthetic
2025-12-18,5098.22,synthetic
2025-12-19,4994.76,synthetic
2025-12-20,5019.37,synthetic
2025-12-21,5150.99,synthetic
2025-12-22,5155.28,synthetic
2025-12-23,5144.32,synthetic
2025-12-24,5199.03,synthetic
2025-12-25,5047.89,synthetic
2025-12-26,5016.36,synthetic
2025-12-27,5065.56,synthetic
2025-12-28,5154.04,synthetic
2025-12-29,5129.24,synthetic
2025-12-30,5167.87,synthetic
2025-12-31,5193.53,synthetic
2026-01-01,5274.79,synthetic
2026-01-02,5157.35,synthetic
2026-01-03,5215.96,synthetic
2026-01-04,5057.97,synthetic
2026-01-05,4792.94,synthetic
2026-01-06,4734.76,synthetic
2026-01-07,4648.04,synthetic
2026-01-08,4729.47,synthetic
2026-01-09,4792.3,synthetic
2026-01-10,4675.46,synthetic
2026-01-11,4754.7,synthetic
2026-01-12,4659.39,synthetic
2026-01-13,4651.36,synthetic
2026-01-14,4624.02,synthetic
2026-01-15,4634.6,synthetic
2026-01-16,4710.48,synthetic
2026-01-17,4770.62,synthetic
2026-01-18,4804.01,synthetic
2026-01-19,4866.45,synthetic
2026-01-20,4913.02,synthetic
2026-01-21,4851.42,synthetic
2026-01-22,4781.81,synthetic
2026-01-23,4736.87,synthetic
2026-01-24,4784.17,synthetic
2026-01-25,4760.24,synthetic
2026-01-26,4982.61,synthetic
2026-01-27,4900.97,synthetic
2026-01-28,4793.26,synthetic
2026-01-29,4866.93,synthetic
2026-01-30,5005.33,synthetic
2026-01-31,5055.95,synthetic
2026-02-01,5140.47,synthetic
2026-02-02,5287.11,synthetic
2026-02-03,5277.17,synthetic
2026-02-04,5126.98,synthetic
2026-02-05,5072.43,synthetic
2026-02-06,5169.1,synthetic
2026-02-07,5019.84,synthetic
2026-02-08,5023.21,synthetic
2026-02-09,5048.65,synthetic
2026-02-10,5016.79,synthetic
2026-02-11,5089.39,synthetic
2026-02-12,5148.51,synthetic
2026-02-13,5387.54,synthetic
2026-02-14,5454.35,synthetic
2026-02-15,5387.87,synthetic
2026-02-16,5327.33,synthetic
2026-02-17,5238.73,synthetic
2026-02-18,5338.5,synthetic
2026-02-19,5277.98,synthetic
2026-02-20,5270.57,synthetic
2026-02-21,5349.55,synthetic
2026-02-22,5272.15,synthetic
2026-02-23,5241.18,synthetic
2026-02-24,5048.17,synthetic
2026-02-25,4938.88,synthetic
2026-02-26,4882.8,synthetic
2026-02-27,4923.4,synthetic
2026-02-28,5040.92,synthetic
2026-03-01,5039.06,synthetic
2026-03-02,5065.4,synthetic
2026-03-03,5082.42,synthetic
2026-03-04,5192.68,synthetic
2026-03-05,5285.46,synthetic
2026-03-06,5314.39,synthetic
2026-03-07,5206.94,synthetic
2026-03-08,5301.02,synthetic
