date,modal_price,source
2025-12-04,1794.81,synthetic
2025-12-05,1788.61,synthetic
2025-12-06,1784.62,synthetic
2025-12-07,1809.68,synthetic
2025-12-08,1805.06,synthetic
2025-12-09,1751.01,synthetic
2025-12-10,1762.64,synthetic
2025-12-11,1753.22,synthetic
2025-12-12,1745.61,synthetic
2025-12-13,1749.66,synthetic
2025-12-14,1757.79,synthetic
2025-12-15,1798.69,synthetic
2025-12-16,1822.31,synthetic
2025-12-17,1826.34,synthetic
2025-12-18,1799.37,synthetic
2025-12-19,1762.86,synthetic
2025-12-20,1771.54,synthetic
2025-12-21,1818.0,synthetic
2025-12-22,1819.51,synthetic
2025-12-23,1815.64,synthetic
2025-12-24,1834.95,synthetic
2025-12-25,1781.61,synthetic
2025-12-26,1770.48,synthetic
2025-12-27,1787.84,synthetic
2025-12-28,1819.07,synthetic
2025-12-29,1810.32,synthetic
2025-12-30,1823.96,synthetic
2025-12-31,1833.01,synthetic
2026-01-01,1861.69,synthetic
2026-01-02,1820.24,synthetic
2026-01-03,1840.93,synthetic
2026-01-04,1785.17,synthetic
2026-01-05,1691.62,synthetic
2026-01-06,1671.09,synthetic
2026-01-07,1640.48,synthetic
2026-01-08,1669.23,synthetic
2026-01-09,1691.4,synthetic
2026-01-10,1650.16,synthetic
2026-01-11,1678.13,synthetic
2026-01-12,1644.49,synthetic
2026-01-13,1641.66,synthetic
2026-01-14,1632.01,synthetic
2026-01-15,1635.74,synthetic
2026-01-16,1662.52,synthetic
2026-01-17,1683.75,synthetic
2026-01-18,1695.53,synthetic
2026-01-19,1717.57,synthetic
2026-01-20,1734.01,synthetic
2026-01-21,1712.26,synthetic
2026-01-22,1687.7,synthetic
2026-01-23,1671.83,synthetic
2026-01-24,1688.53,synthetic
2026-01-25,1680.08,synthetic
2026-01-26,1758.57,synthetic
2026-01-27,1729.75,synthetic
2026-01-28,1691.74,synthetic
2026-01-29,1717.74,synthetic
2026-01-30,1766.59,synthetic
2026-01-31,1784.45,synthetic
2026-02-01,1814.28,synthetic
2026-02-02,1866.04,synthetic
2026-02-03,1862.53,synthetic
2026-02-04,1809.52,synthetic
2026-02-05,1790.27,synthetic
2026-02-06,1824.39,synthetic
2026-02-07,1771.71,synthetic
2026-02-08,1772.9,synthetic
2026-02-09,1781.88,synthetic
2026-02-10,1770.63,synthetic
2026-02-11,1796.26,synthetic
2026-02-12,1817.12,synthetic
2026-02-13,1901.49,synthetic
2026-02-14,1925.06,synthetic
2026-02-15,1901.6,synthetic
2026-02-16,1880.23,synthetic
2026-02-17,1848.96,synthetic
2026-02-18,1884.18,synthetic
2026-02-19,1862.82,synthetic
2026-02-20,1860.2,synthetic
2026-02-21,1888.08,synthetic
2026-02-22,1860.76,synthetic
2026-02-23,1849.83,synthetic
2026-02-24,1781.71,synthetic
2026-02-25,1743.13,synthetic
2026-02-26,1723.34,synthetic
2026-02-27,1737.67,synthetic
2026-02-28,1779.15,synthetic
2026-03-01,1778.49,synthetic
2026-03-02,1787.79,synthetic
2026-03-03,1793.8,synthetic
2026-03-04,1832.71,synthetic
2026-03-05,1865.46,synthetic
2026-03-06,1875.67,synthetic
2026-03-07,1837.74,synthetic
2026-03-08,1870.95,synthetic
2026-03-09,1885.21,synthetic
2026-03-10,1931.47,synthetic
2026-03-11,1930.31,synthetic
2026-03-12,2005.71,synthetic
2026-03-13,1991.32,synthetic
2026-03-14,2054.76,synthetic
2026-03-15,2059.49,synthetic
2026-03-16,2038.23,synthetic
2026-03-17,1992.23,synthetic
2026-03-18,1986.21,synthetic
2026-03-19,2042.75,synthetic
2026-03-20,2076.1,synthetic
2026-03-21,2104.71,synthetic
2026-03-22,2004.7,synthetic
2026-03-23,2033.2,synthetic
2026-03-24,2055.81,synthetic
2026-03-25,2033.19,synthetic
2026-03-26,2007.68,synthetic
2026-03-27,2007.59,synthetic
2026-03-28,2076.85,synthetic
2026-03-29,2033.02,synthetic
2026-03-30,2015.63,synthetic
2026-03-31,2070.52,synthetic
2026-04-01,2052.05,synthetic
2026-04-02,2037.1,synthetic
2026-04-03,2041.08,synthetic
2026-04-04,1990.41,synthetic
2026-04-05,1999.17,synthetic
2026-04-06,1950.8,synthetic
2026-04-07,1985.34,synthetic
2026-04-08,1985.47,synthetic
2026-04-09,2076.14,synthetic
2026-04-10,2087.8,synthetic
2026-04-11,2144.83,synthetic
2026-04-12,2088.92,synthetic
2026-04-13,2083.82,synthetic
2026-04-14,2097.29,synthetic
2026-04-15,2170.51,synthetic
2026-04-16,2097.54,synthetic
2026-04-17,2139.1,synthetic
2026-04-18,2164.4,synthetic
2026-04-19,2230.78,synthetic
2026-04-20,2262.57,synthetic
2026-04-21,2264.92,synthetic
2026-04-22,2241.29,synthetic
2026-04-23,2185.34,synthetic
2026-04-24,2193.88,synthetic
2026-04-25,2185.47,synthetic
2026-04-26,2273.78,synthetic
2026-04-27,2245.99,synthetic
2026-04-28,2260.38,synthetic
2026-04-29,2189.45,synthetic
2026-04-30,2172.13,synthetic
2026-05-01,2183.48,synthetic
2026-05-02,2219.46,synthetic
2026-05-03,2283.74,synthetic
2026-05-04,2281.72,synthetic
2026-05-05,2230.74,synthetic
2026-05-06,2251.17,synthetic
2026-05-07,2274.44,synthetic
2026-05-08,2296.81,synthetic
2026-05-09,2264.64,synthetic
2026-05-10,2315.97,synthetic
2026-05-11,2320.05,synthetic
2026-05-12,2352.52,synthetic
2026-05-13,2412.46,synthetic
2026-05-14,2441.86,synthetic
2026-05-15,2455.85,synthetic
2026-05-16,2561.59,synthetic
2026-05-17,2574.08,synthetic
2026-05-18,2558.84,synthetic
2026-05-19,2564.57,synthetic
2026-05-20,2640.62,synthetic
2026-05-21,2646.89,synthetic
2026-05-22,2674.39,synthetic
2026-05-23,2738.35,synthetic
2026-05-24,2710.26,synthetic
2026-05-25,2616.67,synthetic
2026-05-26,2632.34,synthetic
2026-05-27,2644.43,synthetic
2026-05-28,2612.28,synthetic
2026-05-29,2657.79,synthetic
2026-05-30,2690.08,synthetic
2026-05-31,2636.55,synthetic
