date,modal_price,source
2025-12-04,6481.27,synthetic
2025-12-05,6458.86,synthetic
2025-12-06,6444.48,synthetic
2025-12-07,6534.95,synthetic
2025-12-08,6518.28,synthetic
2025-12-09,6323.08,synthetic
2025-12-10,6365.1,synthetic
2025-12-11,6331.07,synthetic
2025-12-12,6303.6,synthetic
2025-12-13,6318.21,synthetic
2025-12-14,6347.56,synthetic
2025-12-15,6495.28,synthetic
2025-12-16,6580.58,synthetic
2025-12-17,6595.12,synthetic
2025-12-18,6497.73,synthetic
2025-12-19,6365.87,synthetic
2025-12-20,6397.24,synthetic
2025-12-21,6564.98,synthetic
2025-12-22,6570.45,synthetic
2025-12-23,6556.48,synthetic
2025-12-24,6626.21,synthetic
2025-12-25,6433.58,synthetic
2025-12-26,6393.4,synthetic
2025-12-27,6456.1,synthetic
2025-12-28,6568.88,synthetic
2025-12-29,6537.27,synthetic
2025-12-30,6586.5,synthetic
2025-12-31,6619.2,synthetic
2026-01-01,6722.77,synthetic
2026-01-02,6573.09,synthetic
2026-01-03,6647.79,synthetic
2026-01-04,6446.43,synthetic
2026-01-05,6108.64,synthetic
2026-01-06,6034.5,synthetic
2026-01-07,5923.97,synthetic
2026-01-08,6027.76,synthetic
2026-01-09,6107.84,synthetic
2026-01-10,5958.92,synthetic
2026-01-11,6059.91,synthetic
2026-01-12,5938.44,synthetic
2026-01-13,5928.2,synthetic
2026-01-14,5893.35,synthetic
2026-01-15,5906.84,synthetic
2026-01-16,6003.55,synthetic
2026-01-17,6080.21,synthetic
2026-01-18,6122.75,synthetic
2026-01-19,6202.34,synthetic
2026-01-20,6261.7,synthetic
2026-01-21,6183.18,synthetic
2026-01-22,6094.47,synthetic
2026-01-23,6037.18,synthetic
2026-01-24,6097.47,synthetic
2026-01-25,6066.97,synthetic
2026-01-26,6350.39,synthetic
2026-01-27,6246.33,synthetic
2026-01-28,6109.05,synthetic
2026-01-29,6202.95,synthetic
2026-01-30,6379.34,synthetic
2026-01-31,6443.86,synthetic
2026-02-01,6551.58,synthetic
2026-02-02,6738.47,synthetic
2026-02-03,6725.8,synthetic
2026-02-04,6534.39,synthetic
2026-02-05,6464.86,synthetic
2026-02-06,6588.06,synthetic
2026-02-07,6397.84,synthetic
2026-02-08,6402.13,synthetic
2026-02-09,6434.56,synthetic
2026-02-10,6393.94,synthetic
2026-02-11,6486.48,synthetic
2026-02-12,6561.82,synthetic
2026-02-13,6866.48,synthetic
2026-02-14,6951.62,synthetic
2026-02-15,6866.89,synthetic
2026-02-16,6789.74,synthetic
2026-02-17,6676.81,synthetic
2026-02-18,6803.97,synthetic
2026-02-19,6726.84,synthetic
2026-02-20,6717.39,synthetic
2026-02-21,6818.05,synthetic
2026-02-22,6719.4,synthetic
2026-02-23,6679.94,synthetic
2026-02-24,6433.94,synthetic
2026-02-25,6294.65,synthetic
2026-02-26,6223.18,synthetic
2026-02-27,6274.93,synthetic
2026-02-28,6424.71,synthetic
2026-03-01,6422.33,synthetic
2026-03-02,6455.91,synthetic
2026-03-03,6477.59,synthetic
2026-03-04,6618.12,synthetic
2026-03-05,6736.37,synthetic
2026-03-06,6773.24,synthetic
2026-03-07,6636.3,synthetic
2026-03-08,6756.2,synthetic
2026-03-09,6807.69,synthetic
2026-03-10,6974.74,synthetic
2026-03-11,6970.57,synthetic
2026-03-12,7242.85,synthetic
2026-03-13,7190.87,synthetic
2026-03-14,7419.98,synthetic
2026-03-15,7437.06,synthetic
2026-03-16,7360.27,synthetic
2026-03-17,7194.16,synthetic
2026-03-18,7172.43,synthetic
2026-03-19,7376.6,synthetic
2026-03-20,7497.04,synthetic
2026-03-21,7600.33,synthetic
2026-03-22,7239.18,synthetic
2026-03-23,7342.12,synthetic
2026-03-24,7423.74,synthetic
2026-03-25,7342.09,synthetic
2026-03-26,7249.97,synthetic
2026-03-27,7249.63,synthetic
2026-03-28,7499.73,synthetic
2026-03-29,7341.47,synthetic
2026-03-30,7278.65,synthetic
2026-03-31,7476.89,synthetic
2026-04-01,7410.17,synthetic
2026-04-02,7356.19,synthetic
2026-04-03,7370.58,synthetic
2026-04-04,7187.6,synthetic
2026-04-05,7219.21,synthetic
2026-04-06,7044.56,synthetic
2026-04-07,7169.28,synthetic
2026-04-08,7169.74,synthetic
2026-04-09,7497.17,synthetic
2026-04-10,7539.28,synthetic
2026-04-11,7745.21,synthetic
2026-04-12,7543.32,synthetic
2026-04-13,7524.9,synthetic
2026-04-14,7573.53,synthetic
2026-04-15,7837.96,synthetic
2026-04-16,7574.46,synthetic
2026-04-17,7724.53,synthetic
2026-04-18,7815.88,synthetic
2026-04-19,8055.6,synthetic
2026-04-20,8170.38,synthetic
2026-04-21,8178.89,synthetic
2026-04-22,8093.56,synthetic
2026-04-23,7891.51,synthetic
2026-04-24,7922.36,synthetic
2026-04-25,7891.98,synthetic
2026-04-26,8210.86,synthetic
2026-04-27,8110.52,synthetic
2026-04-28,8162.49,synthetic
2026-04-29,7906.35,synthetic
2026-04-30,7843.82,synthetic
2026-05-01,7884.79,synthetic
2026-05-02,8014.72,synthetic
2026-05-03,8246.84,synthetic
2026-05-04,8239.56,synthetic
2026-05-05,8055.45,synthetic
2026-05-06,8129.21,synthetic
2026-05-07,8213.27,synthetic
2026-05-08,8294.03,synthetic
2026-05-09,8177.87,synthetic
2026-05-10,8363.24,synthetic
2026-05-11,8377.94,synthetic
2026-05-12,8495.2,synthetic
2026-05-13,8711.67,synthetic
2026-05-14,8817.83,synthetic
2026-05-15,8868.36,synthetic
2026-05-16,9250.19,synthetic
2026-05-17,9295.28,synthetic
2026-05-18,9240.26,synthetic
2026-05-19,9260.95,synthetic
2026-05-20,9535.59,synthetic
2026-05-21,9558.23,synthetic
2026-05-22,9657.51,synthetic
2026-05-23,9888.47,synthetic
2026-05-24,9787.04,synthetic
2026-05-25,9449.08,synthetic
2026-05-26,9505.67,synthetic
2026-05-27,9549.34,synthetic
2026-05-28,9433.22,synthetic
2026-05-29,9597.56,synthetic
2026-05-30,9714.19,synthetic
2026-05-31,9520.88,synthetic
2026-06-01,9619.55,synthetic
