date,modal_price,source
2025-12-04,4786.17,synthetic
2025-12-05,4769.62,synthetic
2025-12-06,4759.0,synthetic
2025-12-07,4825.81,synthetic
2025-12-08,4813.5,synthetic
2025-12-09,4669.35,synthetic
2025-12-10,4700.38,synthetic
2025-12-11,4675.25,synthetic
2025-12-12,4654.96,synthetic
2025-12-13,4665.75,synthetic
2025-12-14,4687.43,synthetic
2025-12-15,4796.51,synthetic
2025-12-16,4859.5,synthetic
2025-12-17,4870.24,synthetic
2025-12-18,4798.33,synthetic
2025-12-19,4700.95,synthetic
2025-12-20,4724.11,synthetic
2025-12-21,4847.99,synthetic
2025-12-22,4852.03,synthetic
2025-12-23,4841.71,synthetic
2025-12-24,4893.2,synthetic
2025-12-25,4750.95,synthetic
2025-12-26,4721.28,synthetic
2025-12-27,4767.58,synthetic
2025-12-28,4850.86,synthetic
2025-12-29,4827.52,synthetic
2025-12-30,4863.88,synthetic
2025-12-31,4888.03,synthetic
2026-01-01,4964.51,synthetic
2026-01-02,4853.97,synthetic
2026-01-03,4909.14,synthetic
2026-01-04,4760.44,synthetic
2026-01-05,4511.0,synthetic
2026-01-06,4456.24,synthetic
2026-01-07,4374.62,synthetic
2026-01-08,4451.27,synthetic
2026-01-09,4510.4,synthetic
2026-01-10,4400.43,synthetic
2026-01-11,4475.01,synthetic
2026-01-12,4385.31,synthetic
2026-01-13,4377.75,synthetic
2026-01-14,4352.02,synthetic
2026-01-15,4361.97,synthetic
2026-01-16,4433.39,synthetic
2026-01-17,4490.0,synthetic
2026-01-18,4521.42,synthetic
2026-01-19,4580.19,synthetic
2026-01-20,4624.02,synthetic
2026-01-21,4566.04,synthetic
2026-01-22,4500.53,synthetic
2026-01-23,4458.23,synthetic
2026-01-24,4502.75,synthetic
2026-01-25,4480.22,synthetic
2026-01-26,4689.52,synthetic
2026-01-27,4612.68,synthetic
2026-01-28,4511.3,synthetic
2026-01-29,4580.64,synthetic
2026-01-30,4710.9,synthetic
2026-01-31,4758.54,synthetic
2026-02-01,4838.09,synthetic
2026-02-02,4976.1,synthetic
2026-02-03,4966.75,synthetic
2026-02-04,4825.4,synthetic
2026-02-05,4774.05,synthetic
2026-02-06,4865.03,synthetic
2026-02-07,4724.56,synthetic
2026-02-08,4727.73,synthetic
2026-02-09,4751.67,synthetic
2026-02-10,4721.68,synthetic
2026-02-11,4790.02,synthetic
2026-02-12,4845.66,synthetic
2026-02-13,5070.63,synthetic
2026-02-14,5133.5,synthetic
2026-02-15,5070.94,synthetic
2026-02-16,5013.96,synthetic
2026-02-17,4930.57,synthetic
2026-02-18,5024.47,synthetic
2026-02-19,4967.51,synthetic
2026-02-20,4960.53,synthetic
2026-02-21,5034.87,synthetic
2026-02-22,4962.02,synthetic
2026-02-23,4932.88,synthetic
2026-02-24,4751.22,synthetic
2026-02-25,4648.36,synthetic
2026-02-26,4595.58,synthetic
2026-02-27,4633.79,synthetic
2026-02-28,4744.4,synthetic
2026-03-01,4742.65,synthetic
2026-03-02,4767.44,synthetic
2026-03-03,4783.45,synthetic
2026-03-04,4887.23,synthetic
2026-03-05,4974.55,synthetic
2026-03-06,5001.78,synthetic
2026-03-07,4900.65,synthetic
2026-03-08,4989.19,synthetic
2026-03-09,5027.22,synthetic
2026-03-10,5150.58,synthetic
2026-03-11,5147.5,synthetic
2026-03-12,5348.57,synthetic
2026-03-13,5310.18,synthetic
2026-03-14,5479.37,synthetic
2026-03-15,5491.98,synthetic
2026-03-16,5435.28,synthetic
2026-03-17,5312.61,synthetic
2026-03-18,5296.56,synthetic
2026-03-19,5447.33,synthetic
2026-03-20,5536.28,synthetic
2026-03-21,5612.55,synthetic
2026-03-22,5345.86,synthetic
2026-03-23,5421.87,synthetic
2026-03-24,5482.15,synthetic
2026-03-25,5421.85,synthetic
2026-03-26,5353.82,synthetic
2026-03-27,5353.57,synthetic
2026-03-28,5538.26,synthetic
2026-03-29,5421.39,synthetic
2026-03-30,5375.0,synthetic
2026-03-31,5521.4,synthetic
2026-04-01,5472.13,synthetic
2026-04-02,5432.26,synthetic
2026-04-03,5442.89,synthetic
2026-04-04,5307.76,synthetic
2026-04-05,5331.11,synthetic
2026-04-06,5202.14,synthetic
2026-04-07,5294.24,synthetic
2026-04-08,5294.57,synthetic
2026-04-09,5536.37,synthetic
2026-04-10,5567.47,synthetic
2026-04-11,5719.54,synthetic
2026-04-12,5570.46,synthetic
2026-04-13,5556.85,synthetic
2026-04-14,5592.76,synthetic
2026-04-15,5788.03,synthetic
2026-04-16,5593.45,synthetic
2026-04-17,5704.26,synthetic
2026-04-18,5771.73,synthetic
2026-04-19,5948.75,synthetic
2026-04-20,6033.51,synthetic
2026-04-21,6039.79,synthetic
2026-04-22,5976.78,synthetic
2026-04-23,5827.58,synthetic
2026-04-24,5850.36,synthetic
2026-04-25,5827.93,synthetic
2026-04-26,6063.4,synthetic
2026-04-27,5989.31,synthetic
2026-04-28,6027.69,synthetic
2026-04-29,5838.54,synthetic
2026-04-30,5792.36,synthetic
2026-05-01,5822.61,synthetic
2026-05-02,5918.56,synthetic
2026-05-03,6089.98,synthetic
2026-05-04,6084.6,synthetic
2026-05-05,5948.64,synthetic
2026-05-06,6003.11,synthetic
2026-05-07,6065.18,synthetic
2026-05-08,6124.82,synthetic
2026-05-09,6039.04,synthetic
2026-05-10,6175.93,synthetic
2026-05-11,6186.79,synthetic
2026-05-12,6273.38,synthetic
2026-05-13,6433.24,synthetic
2026-05-14,6511.63,synthetic
2026-05-15,6548.94,synthetic
2026-05-16,6830.91,synthetic
2026-05-17,6864.21,synthetic
2026-05-18,6823.57,synthetic
2026-05-19,6838.85,synthetic
2026-05-20,7041.66,synthetic
2026-05-21,7058.38,synthetic
2026-05-22,7131.7,synthetic
2026-05-23,7302.25,synthetic
2026-05-24,7227.35,synthetic
2026-05-25,6977.78,synthetic
2026-05-26,7019.57,synthetic
2026-05-27,7051.82,synthetic
2026-05-28,6966.07,synthetic
2026-05-29,7087.43,synthetic
2026-05-30,7173.55,synthetic
2026-05-31,7030.8,synthetic
2026-06-01,7103.67,synthetic
