date,modal_price,source
2025-12-04,8475.5,synthetic
2025-12-05,8446.2,synthetic
2025-12-06,8427.39,synthetic
2025-12-07,8545.71,synthetic
2025-12-08,8523.9,synthetic
2025-12-09,8268.64,synthetic
2025-12-10,8323.59,synthetic
2025-12-11,8279.09,synthetic
2025-12-12,8243.16,synthetic
2025-12-13,8262.27,synthetic
2025-12-14,8300.66,synthetic
2025-12-15,8493.82,synthetic
2025-12-16,8605.37,synthetic
2025-12-17,8624.39,synthetic
2025-12-18,8497.04,synthetic
2025-12-19,8324.6,synthetic
2025-12-20,8365.62,synthetic
2025-12-21,8584.98,synthetic
2025-12-22,8592.13,synthetic
2025-12-23,8573.86,synthetic
2025-12-24,8665.05,synthetic
2025-12-25,8413.15,synthetic
2025-12-26,8360.6,synthetic
2025-12-27,8442.6,synthetic
2025-12-28,8590.07,synthetic
2025-12-29,8548.73,synthetic
2025-12-30,8613.12,synthetic
2025-12-31,8655.88,synthetic
2026-01-01,8791.31,synthetic
2026-01-02,8595.58,synthetic
2026-01-03,8693.27,synthetic
2026-01-04,8429.95,synthetic
2026-01-05,7988.23,synthetic
2026-01-06,7891.27,synthetic
2026-01-07,7746.73,synthetic
2026-01-08,7882.45,synthetic
2026-01-09,7987.17,synthetic
2026-01-10,7792.43,synthetic
2026-01-11,7924.49,synthetic
2026-01-12,7765.66,synthetic
2026-01-13,7752.26,synthetic
2026-01-14,7706.69,synthetic
2026-01-15,7724.33,synthetic
2026-01-16,7850.8,synthetic
2026-01-17,7951.04,synthetic
2026-01-18,8006.68,synthetic
2026-01-19,8110.76,synthetic
2026-01-20,8188.37,synthetic
2026-01-21,8085.7,synthetic
2026-01-22,7969.69,synthetic
2026-01-23,7894.78,synthetic
2026-01-24,7973.62,synthetic
2026-01-25,7933.73,synthetic
2026-01-26,8304.36,synthetic
2026-01-27,8168.28,synthetic
2026-01-28,7988.76,synthetic
2026-01-29,8111.55,synthetic
2026-01-30,8342.21,synthetic
2026-01-31,8426.59,synthetic
2026-02-01,8567.45,synthetic
2026-02-02,8811.85,synthetic
2026-02-03,8795.28,synthetic
2026-02-04,8544.97,synthetic
2026-02-05,8454.04,synthetic
2026-02-06,8615.16,synthetic
2026-02-07,8366.41,synthetic
2026-02-08,8372.02,synthetic
2026-02-09,8414.42,synthetic
2026-02-10,8361.31,synthetic
2026-02-11,8482.32,synthetic
2026-02-12,8580.85,synthetic
2026-02-13,8979.24,synthetic
2026-02-14,9090.58,synthetic
2026-02-15,8979.78,synthetic
2026-02-16,8878.88,synthetic
2026-02-17,8731.21,synthetic
2026-02-18,8897.5,synthetic
2026-02-19,8796.64,synthetic
2026-02-20,8784.28,synthetic
2026-02-21,8915.92,synthetic
2026-02-22,8786.91,synthetic
2026-02-23,8735.3,synthetic
2026-02-24,8413.62,synthetic
2026-02-25,8231.47,synthetic
2026-02-26,8138.0,synthetic
2026-02-27,8205.67,synthetic
2026-02-28,8401.54,synthetic
2026-03-01,8398.44,synthetic
2026-03-02,8442.34,synthetic
2026-03-03,8470.7,synthetic
2026-03-04,8654.47,synthetic
2026-03-05,8809.1,synthetic
2026-03-06,8857.32,synthetic
2026-03-07,8678.23,synthetic
2026-03-08,8835.03,synthetic
2026-03-09,8902.36,synthetic
2026-03-10,9120.81,synthetic
2026-03-11,9115.36,synthetic
2026-03-12,9471.42,synthetic
2026-03-13,9403.44,synthetic
2026-03-14,9703.05,synthetic
2026-03-15,9725.39,synthetic
2026-03-16,9624.97,synthetic
2026-03-17,9407.74,synthetic
2026-03-18,9379.33,synthetic
2026-03-19,9646.32,synthetic
2026-03-20,9803.82,synthetic
2026-03-21,9938.9,synthetic
2026-03-22,9466.63,synthetic
2026-03-23,9601.23,synthetic
2026-03-24,9707.97,synthetic
2026-03-25,9601.2,synthetic
2026-03-26,9480.73,synthetic
2026-03-27,9480.29,synthetic
2026-03-28,9807.33,synthetic
2026-03-29,9600.38,synthetic
2026-03-30,9518.24,synthetic
2026-03-31,9777.47,synthetic
2026-04-01,9690.23,synthetic
2026-04-02,9619.63,synthetic
2026-04-03,9638.45,synthetic
2026-04-04,9399.16,synthetic
2026-04-05,9440.51,synthetic
2026-04-06,9212.12,synthetic
2026-04-07,9375.21,synthetic
2026-04-08,9375.81,synthetic
2026-04-09,9803.99,synthetic
2026-04-10,9859.06,synthetic
2026-04-11,10128.35,synthetic
2026-04-12,9864.35,synthetic
2026-04-13,9840.25,synthetic
2026-04-14,9903.85,synthetic
2026-04-15,10249.63,synthetic
2026-04-16,9905.06,synthetic
2026-04-17,10101.3,synthetic
2026-04-18,10220.77,synthetic
2026-04-19,10534.25,synthetic
2026-04-20,10684.34,synthetic
2026-04-21,10695.47,synthetic
2026-04-22,10583.88,synthetic
2026-04-23,10319.67,synthetic
2026-04-24,10360.0,synthetic
2026-04-25,10320.28,synthetic
2026-04-26,10737.28,synthetic
2026-04-27,10606.06,synthetic
2026-04-28,10674.03,synthetic
2026-04-29,10339.07,synthetic
2026-04-30,10257.3,synthetic
2026-05-01,10310.87,synthetic
2026-05-02,10480.79,synthetic
2026-05-03,10784.33,synthetic
2026-05-04,10774.81,synthetic
2026-05-05,10534.05,synthetic
2026-05-06,10630.51,synthetic
2026-05-07,10740.43,synthetic
2026-05-08,10846.04,synthetic
2026-05-09,10694.13,synthetic
2026-05-10,10936.54,synthetic
2026-05-11,10955.77,synthetic
2026-05-12,11109.11,synthetic
2026-05-13,11392.19,synthetic
2026-05-14,11531.01,synthetic
2026-05-15,11597.08,synthetic
2026-05-16,12096.41,synthetic
2026-05-17,12155.36,synthetic
2026-05-18,12083.41,synthetic
2026-05-19,12110.47,synthetic
2026-05-20,12469.61,synthetic
2026-05-21,12499.22,synthetic
2026-05-22,12629.06,synthetic
2026-05-23,12931.07,synthetic
2026-05-24,12798.44,synthetic
2026-05-25,12356.49,synthetic
2026-05-26,12430.49,synthetic
2026-05-27,12487.6,synthetic
2026-05-28,12335.75,synthetic
2026-05-29,12550.66,synthetic
2026-05-30,12703.17,synthetic
2026-05-31,12450.38,synthetic
2026-06-01,12579.42,synthetic
