date,modal_price,source
2025-12-04,2393.08,synthetic
2025-12-05,2384.81,synthetic
2025-12-06,2379.5,synthetic
2025-12-07,2412.91,synthetic
2025-12-08,2406.75,synthetic
2025-12-09,2334.67,synthetic
2025-12-10,2350.19,synthetic
2025-12-11,2337.63,synthetic
2025-12-12,2327.48,synthetic
2025-12-13,2332.88,synthetic
2025-12-14,2343.71,synthetic
2025-12-15,2398.26,synthetic
2025-12-16,2429.75,synthetic
2025-12-17,2435.12,synthetic
2025-12-18,2399.16,synthetic
2025-12-19,2350.48,synthetic
2025-12-20,2362.06,synthetic
2025-12-21,2423.99,synthetic
2025-12-22,2426.01,synthetic
2025-12-23,2420.85,synthetic
2025-12-24,2446.6,synthetic
2025-12-25,2375.48,synthetic
2025-12-26,2360.64,synthetic
2025-12-27,2383.79,synthetic
2025-12-28,2425.43,synthetic
2025-12-29,2413.76,synthetic
2025-12-30,2431.94,synthetic
2025-12-31,2444.01,synthetic
2026-01-01,2482.25,synthetic
2026-01-02,2426.99,synthetic
2026-01-03,2454.57,synthetic
2026-01-04,2380.22,synthetic
2026-01-05,2255.5,synthetic
2026-01-06,2228.12,synthetic
2026-01-07,2187.31,synthetic
2026-01-08,2225.63,synthetic
2026-01-09,2255.2,synthetic
2026-01-10,2200.22,synthetic
2026-01-11,2237.5,synthetic
2026-01-12,2192.66,synthetic
2026-01-13,2188.87,synthetic
2026-01-14,2176.01,synthetic
2026-01-15,2180.99,synthetic
2026-01-16,2216.7,synthetic
2026-01-17,2245.0,synthetic
2026-01-18,2260.71,synthetic
2026-01-19,2290.1,synthetic
2026-01-20,2312.01,synthetic
2026-01-21,2283.02,synthetic
2026-01-22,2250.26,synthetic
2026-01-23,2229.11,synthetic
2026-01-24,2251.37,synthetic
2026-01-25,2240.11,synthetic
2026-01-26,2344.76,synthetic
2026-01-27,2306.34,synthetic
2026-01-28,2255.65,synthetic
2026-01-29,2290.32,synthetic
2026-01-30,2355.45,synthetic
2026-01-31,2379.27,synthetic
2026-02-01,2419.04,synthetic
2026-02-02,2488.05,synthetic
2026-02-03,2483.37,synthetic
2026-02-04,2412.7,synthetic
2026-02-05,2387.02,synthetic
2026-02-06,2432.52,synthetic
2026-02-07,2362.28,synthetic
2026-02-08,2363.86,synthetic
2026-02-09,2375.84,synthetic
2026-02-10,2360.84,synthetic
2026-02-11,2395.01,synthetic
2026-02-12,2422.83,synthetic
2026-02-13,2535.32,synthetic
2026-02-14,2566.75,synthetic
2026-02-15,2535.47,synthetic
2026-02-16,2506.98,synthetic
2026-02-17,2465.28,synthetic
2026-02-18,2512.24,synthetic
2026-02-19,2483.76,synthetic
2026-02-20,2480.27,synthetic
2026-02-21,2517.44,synthetic
2026-02-22,2481.01,synthetic
2026-02-23,2466.44,synthetic
2026-02-24,2375.61,synthetic
2026-02-25,2324.18,synthetic
2026-02-26,2297.79,synthetic
2026-02-27,2316.9,synthetic
2026-02-28,2372.2,synthetic
2026-03-01,2371.32,synthetic
2026-03-02,2383.72,synthetic
2026-03-03,2391.73,synthetic
2026-03-04,2443.61,synthetic
2026-03-05,2487.28,synthetic
2026-03-06,2500.89,synthetic
2026-03-07,2450.32,synthetic
2026-03-08,2494.6,synthetic
2026-03-09,2513.61,synthetic
2026-03-10,2575.29,synthetic
2026-03-11,2573.75,synthetic
2026-03-12,2674.28,synthetic
2026-03-13,2655.09,synthetic
2026-03-14,2739.68,synthetic
2026-03-15,2745.99,synthetic
2026-03-16,2717.64,synthetic
2026-03-17,2656.3,synthetic
2026-03-18,2648.28,synthetic
2026-03-19,2723.67,synthetic
2026-03-20,2768.14,synthetic
2026-03-21,2806.28,synthetic
2026-03-22,2672.93,synthetic
2026-03-23,2710.94,synthetic
2026-03-24,2741.07,synthetic
2026-03-25,2710.93,synthetic
2026-03-26,2676.91,synthetic
2026-03-27,2676.79,synthetic
2026-03-28,2769.13,synthetic
2026-03-29,2710.7,synthetic
2026-03-30,2687.5,synthetic
2026-03-31,2760.7,synthetic
2026-04-01,2736.06,synthetic
2026-04-02,2716.13,synthetic
2026-04-03,2721.44,synthetic
2026-04-04,2653.88,synthetic
2026-04-05,2665.56,synthetic
2026-04-06,2601.07,synthetic
2026-04-07,2647.12,synthetic
2026-04-08,2647.29,synthetic
2026-04-09,2768.19,synthetic
2026-04-10,2783.73,synthetic
2026-04-11,2859.77,synthetic
2026-04-12,2785.23,synthetic
2026-04-13,2778.42,synthetic
2026-04-14,2796.38,synthetic
2026-04-15,2894.01,synthetic
2026-04-16,2796.72,synthetic
2026-04-17,2852.13,synthetic
2026-04-18,2885.86,synthetic
2026-04-19,2974.38,synthetic
2026-04-20,3016.75,synthetic
2026-04-21,3019.9,synthetic
2026-04-22,2988.39,synthetic
2026-04-23,2913.79,synthetic
2026-04-24,2925.18,synthetic
2026-04-25,2913.96,synthetic
2026-04-26,3031.7,synthetic
2026-04-27,2994.65,synthetic
2026-04-28,3013.84,synthetic
2026-04-29,2919.27,synthetic
2026-04-30,2896.18,synthetic
2026-05-01,2911.31,synthetic
2026-05-02,2959.28,synthetic
2026-05-03,3044.99,synthetic
2026-05-04,3042.3,synthetic
2026-05-05,2974.32,synthetic
2026-05-06,3001.56,synthetic
2026-05-07,3032.59,synthetic
2026-05-08,3062.41,synthetic
2026-05-09,3019.52,synthetic
2026-05-10,3087.97,synthetic
2026-05-11,3093.39,synthetic
2026-05-12,3136.69,synthetic
2026-05-13,3216.62,synthetic
2026-05-14,3255.81,synthetic
2026-05-15,3274.47,synthetic
2026-05-16,3415.46,synthetic
2026-05-17,3432.1,synthetic
2026-05-18,3411.79,synthetic
2026-05-19,3419.43,synthetic
2026-05-20,3520.83,synthetic
2026-05-21,3529.19,synthetic
2026-05-22,3565.85,synthetic
2026-05-23,3651.13,synthetic
2026-05-24,3613.68,synthetic
2026-05-25,3488.89,synthetic
2026-05-26,3509.78,synthetic
2026-05-27,3525.91,synthetic
2026-05-28,3483.04,synthetic
2026-05-29,3543.72,synthetic
2026-05-30,3586.78,synthetic
2026-05-31,3515.4,synthetic
2026-06-01,3551.84,synthetic
